oo,op,n,t
0,add,1,7.152557373046875e-07
1,add,1,2.1457672119140625e-06
0,sub,1,7.152557373046875e-07
1,sub,1,1.1920928955078125e-06
0,add,2,9.5367431640625e-07
1,add,2,9.5367431640625e-07
0,sub,2,9.5367431640625e-07
1,sub,2,9.5367431640625e-07
0,add,3,1.1920928955078125e-06
1,add,3,9.5367431640625e-07
0,sub,3,0.0
1,sub,3,1.1920928955078125e-06
0,add,4,9.5367431640625e-07
1,add,4,9.5367431640625e-07
0,sub,4,0.0
1,sub,4,9.5367431640625e-07
0,add,5,9.5367431640625e-07
1,add,5,0.0
0,sub,5,0.0
1,sub,5,9.5367431640625e-07
0,add,6,0.0
1,add,6,0.0
0,sub,6,0.0
1,sub,6,0.0
0,add,7,9.5367431640625e-07
1,add,7,9.5367431640625e-07
0,sub,7,0.0
1,sub,7,0.0
0,add,8,0.0
1,add,8,0.0
0,sub,8,0.0
1,sub,8,0.0
0,add,9,9.5367431640625e-07
1,add,9,0.0
0,sub,9,0.0
1,sub,9,0.0
0,add,10,9.5367431640625e-07
1,add,10,1.1920928955078125e-06
0,sub,10,0.0
1,sub,10,9.5367431640625e-07
0,add,11,0.0
1,add,11,9.5367431640625e-07
0,sub,11,9.5367431640625e-07
1,sub,11,9.5367431640625e-07
0,add,12,9.5367431640625e-07
1,add,12,9.5367431640625e-07
0,sub,12,1.1920928955078125e-06
1,sub,12,9.5367431640625e-07
0,add,13,1.1920928955078125e-06
1,add,13,7.152557373046875e-07
0,sub,13,9.5367431640625e-07
1,sub,13,9.5367431640625e-07
0,add,14,1.1920928955078125e-06
1,add,14,9.5367431640625e-07
0,sub,14,9.5367431640625e-07
1,sub,14,9.5367431640625e-07
0,add,15,1.1920928955078125e-06
1,add,15,9.5367431640625e-07
0,sub,15,1.1920928955078125e-06
1,sub,15,9.5367431640625e-07
0,add,16,9.5367431640625e-07
1,add,16,9.5367431640625e-07
0,sub,16,9.5367431640625e-07
1,sub,16,9.5367431640625e-07
0,add,17,9.5367431640625e-07
1,add,17,2.1457672119140625e-06
0,sub,17,9.5367431640625e-07
1,sub,17,1.1920928955078125e-06
0,add,18,9.5367431640625e-07
1,add,18,1.1920928955078125e-06
0,sub,18,9.5367431640625e-07
1,sub,18,9.5367431640625e-07
0,add,19,9.5367431640625e-07
1,add,19,1.9073486328125e-06
0,sub,19,1.1920928955078125e-06
1,sub,19,9.5367431640625e-07
0,add,20,1.1920928955078125e-06
1,add,20,9.5367431640625e-07
0,sub,20,1.1920928955078125e-06
1,sub,20,9.5367431640625e-07
0,add,21,9.5367431640625e-07
1,add,21,9.5367431640625e-07
0,sub,21,9.5367431640625e-07
1,sub,21,9.5367431640625e-07
0,add,22,9.5367431640625e-07
1,add,22,1.1920928955078125e-06
0,sub,22,9.5367431640625e-07
1,sub,22,2.1457672119140625e-06
0,add,23,7.152557373046875e-07
1,add,23,9.5367431640625e-07
0,sub,23,9.5367431640625e-07
1,sub,23,9.5367431640625e-07
0,add,24,9.5367431640625e-07
1,add,24,1.9073486328125e-06
0,sub,24,9.5367431640625e-07
1,sub,24,2.1457672119140625e-06
0,add,25,1.1920928955078125e-06
1,add,25,9.5367431640625e-07
0,sub,25,9.5367431640625e-07
1,sub,25,9.5367431640625e-07
0,add,26,1.1920928955078125e-06
1,add,26,9.5367431640625e-07
0,sub,26,9.5367431640625e-07
1,sub,26,9.5367431640625e-07
0,add,27,2.1457672119140625e-06
1,add,27,1.9073486328125e-06
0,sub,27,1.9073486328125e-06
1,sub,27,2.1457672119140625e-06
0,add,28,9.5367431640625e-07
1,add,28,2.1457672119140625e-06
0,sub,28,1.6689300537109375e-06
1,sub,28,2.1457672119140625e-06
0,add,29,9.5367431640625e-07
1,add,29,9.5367431640625e-07
0,sub,29,9.5367431640625e-07
1,sub,29,1.9073486328125e-06
0,add,30,9.5367431640625e-07
